location_slug,location_name,publish,rank,venue_name,venue_url,venue_note,venue_image,venue_image_url,source_note
bristol,Bristol,1,2,Ashton Court Estate,https://ashtoncourtmansion.org/hire/weddings,"A local venue option for weddings, parties and private events in Bristol: Ashton Court Estate.",assets/img/locations/venues/bristol-ashton-court-estate.webp,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_500,q_75,w_815/v1/clients/bristol/Bristol_header_image_4__a67aaf0e-b751-4eea-8773-92d47aaa0a57.jpg","CSV candidate. Check venue suitability, availability and image rights before setting publish=1."
bristol,Bristol,1,3,Bristol Harbour Hotel,https://www.harbourhotels.co.uk/bristol/weddings,A city-centre hotel venue with polished reception spaces.,assets/img/locations/venues/bristol-harbour-hotel.webp,https://www.thetravelmagazine.net/wp-content/uploads/Bristol-Harbour-Hotel-Exterior.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
plymouth,Plymouth,1,1,Boringdon Hall Hotel and Spa,https://boringdonhall.co.uk/weddings/,A luxury historic manor house on the edge of Plymouth with elegant interiors.,assets/img/locations/venues/boringdon-hall-hotel-and-spa.webp,https://hotelcms-production.imgix.net/boringdonhall.co.uk/wp-content/uploads/2019/10/KayeandRussell-464-1024x683.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
plymouth,Plymouth,1,2,St Elizabeth's House,https://stelizabeths.co.uk/weddings/,"A Georgian country-house wedding venue in Plympton, close to Plymouth.",assets/img/locations/venues/st-elizabeth-s-house.webp,https://images.squarespace-cdn.com/content/v1/697b55ed22870c20c2dd6e6c/f03f571d-9695-4d7d-a077-4b95fc7a9ee8/st-elizabeths-house-winter-weddings-devon-83.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
plymouth,Plymouth,1,3,Home Park Stadium,https://www.pafc.co.uk/venue/events,"A Plymouth event venue suited to larger celebrations, parties and corporate events.",assets/img/locations/venues/plymouth-home-park-stadium.webp,not found,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
exeter,Exeter,1,1,Rockbeare Manor,https://www.rockbearemanor.co.uk/weddings/,A refined manor-house wedding venue close to Exeter.,assets/img/locations/venues/rockbeare-manor.webp,https://lirp.cdn-website.com/9834031d/dms3rep/multi/opt/Wedding+venue+in+Devon+Rockbeare+Manor+%2814%29-640w.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
exeter,Exeter,1,2,Deer Park Country House,https://www.deerparkcountryhotel.co.uk/weddings/,A country-house venue near Honiton and Exeter with grounds and accommodation.,assets/img/locations/venues/deer-park-country-house.webp,https://images.squarespace-cdn.com/content/v1/5d401ac0c2cec00001275301/1565874510348-W7AT3KAQJ4YM8Q8OA9PN/Deer+Park+Gardens-128.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
exeter,Exeter,1,3,Reed Hall,https://event.exeter.ac.uk/reed-hall,A landscaped Exeter venue on the University of Exeter campus.,assets/img/locations/venues/exeter-reed-hall.webp,https://event.exeter.ac.uk/storage/536/Reed-Hall-entrance_opt-(1).jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
torquay,Torquay,1,1,The Imperial Torquay,https://www.theimperialtorquay.co.uk/weddings/,A seafront Torquay hotel venue with bay views.,assets/img/locations/venues/the-imperial-torquay.webp,https://theimperialtorquay.co.uk/wp-content/uploads/sites/11/2026/01/IMT-Exterior-03-1000px.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
torquay,Torquay,1,2,Torre Abbey,https://www.torre-abbey.org.uk/more/weddings/,A historic Torquay venue with gardens and characterful spaces.,assets/img/locations/venues/torquay-torre-abbey.webp,https://www.torre-abbey.org.uk/media/1855/wedding1.jpg?width=800&height=270&rnd=134068401601470000,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
torquay,Torquay,1,3,The Grand Hotel,https://richardsonhotels.co.uk/the-grand-hotel/weddings,A landmark Torquay hotel suited to classic seaside weddings.,assets/img/locations/venues/torquay-the-grand-hotel.webp,https://richardsonhotels.co.uk/render-img/page/sections/hero/zmOcSY6mLWPbyseZ1g8VbbOhqkHn3jyCpxkBuHu6.jpg?w=1920&fm=webp&s=9e7f982545a8cb579c65ab055f70785b,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
paignton,Paignton,1,1,The Palace Hotel Paignton,https://www.palacepaignton.com/weddings/,A seafront Paignton hotel venue with classic coastal character.,assets/img/locations/venues/the-palace-hotel-paignton.webp,https://palacepaignton.com/wp-content/uploads/2021/06/Weddings-and-events-Palace-Hotel-Paignton-scaled.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
paignton,Paignton,1,2,Churston Court,https://churstoncourt.com/wedding-venue/,A historic manor-style venue between Paignton and Brixham.,assets/img/locations/venues/paignton-churston-court.webp,https://churstoncourt.com/app/uploads/2024/11/vickie-and-liam_2048_x_1365_351.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
paignton,Paignton,1,3,Lupton House,https://www.luptonhouse.org/weddings,A country-house venue near Brixham and Paignton.,assets/img/locations/venues/paignton-lupton-house.webp,not found,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
newton-abbot,Newton Abbot,1,1,Bickley Mill,https://www.bickleymill.co.uk/weddings/,A South Devon mill venue close to Newton Abbot.,assets/img/locations/venues/bickley-mill.webp,https://www.bickleymill.co.uk/wp-content/uploads/2026/02/14.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
newton-abbot,Newton Abbot,1,2,ANRÁN,https://www.anran.co.uk/weddings/,A boutique rural venue near Ashburton and Newton Abbot.,assets/img/locations/venues/newton-abbot-anr-n.webp,"https://img1.wsimg.com/isteam/ip/51c0a57e-b256-4ce3-b245-dc640386a726/THE%20GREEN%20ROOM_L%26LL_%20IMG-c98e3ee.jpg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:1280,h:960","Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
newton-abbot,Newton Abbot,1,3,Dartington Hall,https://www.dartington.org/weddings-events/weddings,A historic estate venue between Totnes and Newton Abbot.,assets/img/locations/venues/newton-abbot-dartington-hall.webp,https://dartington-estate.transforms.svdcdn.com/production/images/Cinema/MYoung-rm.jpg?w=1200&h=800&fm=webp&auto=compress&fit=crop&dm=1776954629&s=5f597d264dfdf6818647c98c77fb4810,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
barnstaple,Barnstaple,1,1,Ash Barton Estate,https://www.ashbarton.com/,A North Devon estate venue close to Barnstaple and Braunton.,assets/img/locations/venues/ash-barton-estate.webp,https://www.ashbarton.com/media/3589/7r305051.jpg?anchor=center&mode=crop&width=800&height=500&rnd=132804128630000000,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
barnstaple,Barnstaple,1,2,Tawstock Court,https://www.tawstockcourt.co.uk/weddings/,A country-house venue close to Barnstaple.,assets/img/locations/venues/tawstock-court.webp,https://tawstockcourt.co.uk/wp-content/uploads/2025/12/zdone-Amber-Jordan-Wedding-568JW.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
barnstaple,Barnstaple,1,3,Tunnels Beaches,https://www.tunnelsbeaches.co.uk/weddings.html,A coastal North Devon wedding venue near Ilfracombe.,assets/img/locations/venues/barnstaple-tunnels-beaches.webp,https://www.tunnelsbeaches.co.uk/i_weddings_venuetext.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
exmouth,Exmouth,1,3,Rockbeare Manor,https://www.rockbearemanor.co.uk/weddings/,A manor-house venue within reach of Exmouth and Exeter.,assets/img/locations/venues/rockbeare-manor.webp,https://lirp.cdn-website.com/9834031d/dms3rep/multi/opt/Wedding+venue+in+Devon+Rockbeare+Manor+%2814%29-640w.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
exmouth,Exmouth,1,2,Deer Park Country House,https://www.deerparkcountryhotel.co.uk/weddings/,A country-house venue serving East Devon weddings.,assets/img/locations/venues/deer-park-country-house.webp,https://images.squarespace-cdn.com/content/v1/5d401ac0c2cec00001275301/1565874510348-W7AT3KAQJ4YM8Q8OA9PN/Deer+Park+Gardens-128.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
exmouth,Exmouth,1,1,Higher Holcombe ,https://higherholcombe.co.uk/,"A local venue option for weddings, parties and private events in Exmouth: Higher Holcombe.",assets/img/locations/venues/higher-holcombe.webp,https://higherholcombe.co.uk/wp-content/uploads/2025/05/RusticBarnWeddingVenueAndreaKuehnisPhotography.jpg.webp,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
tiverton,Tiverton,1,1,Huntsham Court,https://www.huntshamcourt.co.uk/weddings/,A large country-house venue close to Tiverton.,assets/img/locations/venues/tiverton-huntsham-court.webp,not found,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
tiverton,Tiverton,1,2,Upton Barn and Walled Garden,https://www.uptonbarn.com/,A countryside wedding venue near Cullompton and Tiverton.,assets/img/locations/venues/upton-barn-and-walled-garden.webp,https://www.uptonbarn.com/wp-content/uploads/2021/07/Upton-Barn-Walled-Garden-Real-Weddings-Image-by-Joshua-Gooding-Photography.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
tiverton,Tiverton,1,3,Bickleigh Castle,https://www.bickleighcastle.com/weddings/,A castle-style venue near Tiverton with riverside grounds.,assets/img/locations/venues/tiverton-bickleigh-castle.webp,not found,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
dartmouth,Dartmouth,1,1,The Guildhall,https://www.dartmouthtowncouncil.gov.uk/council-services/weddings/,A riverside Dartmouth venue with views over the River Dart.,assets/img/locations/venues/dartmouth-the-guildhall.webp,https://www.dartmouthtowncouncil.gov.uk/wp-content/uploads/sites/115/2025/09/20250621-_DSC1843-1-e1761058934622-900x1054.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
dartmouth,Dartmouth,1,2,Stoke Lodge Hotel,https://stokelodgehotel.co.uk/events-weddings-exclusive-use/,A nearby South Hams coastal venue from the homepage list.,assets/img/locations/venues/stoke-lodge-hotel.webp,https://stokelodgehotel.co.uk/wp-content/uploads/2026/01/004_Jess_Andy_Salty_Rose_Weddings-4352_low_res-600x400.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
dartmouth,Dartmouth,1,3,The Sail Loft,https://www.sailloftdartmouth.co.uk/dartmouth-private-hire-events-venue.html,A South Devon estate venue between Totnes and the coast.,assets/img/locations/venues/the-sail-loft.webp,https://www.sailloftdartmouth.co.uk/uploads/1/0/7/7/10776260/background-images/984054186.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
totnes,Totnes,1,1,Kingston Estate,https://www.kingston-estate.co.uk/weddings/,A large South Devon country-house venue close to Totnes.,assets/img/locations/venues/kingston-estate.webp,https://kingston-estate.co.uk/app/uploads/2024/09/Fiona-Giles-Wedding-Kingston-Estate-Sneak-Peek-Chloe-Winstanley-Photography-100-1.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
totnes,Totnes,1,2,Dartington Hall,https://www.dartington.org/weddings-events/weddings,A historic estate venue just outside Totnes.,assets/img/locations/venues/totnes-dartington-hall.webp,https://dartington-estate.transforms.svdcdn.com/production/images/Wedding/64396.jpg?w=2200&h=1800&fm=webp&auto=compress&fit=clip&dm=1771604796&s=73b4b9948ebf13eed3b5e364a908c4ed,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
totnes,Totnes,1,3,Holsome Park,https://www.holsomepark.co.uk/weddings/,A countryside barn wedding venue near Totnes.,assets/img/locations/venues/totnes-holsome-park.webp,https://holsomepark.co.uk/wp-content/uploads/2026/01/559025966_1396780049121875_5110710241389914473_n.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
truro,Truro,1,1,The Alverton,https://thealverton.co.uk/the-venue/the-space/hotel-weddings-in-cornwall-the-alverton/,A historic Truro hotel venue with gardens and city access.,assets/img/locations/venues/truro-the-alverton.webp,https://thealverton.co.uk/content/uploads/2024/11/251A4856-600x800.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
truro,Truro,1,2,Nancarrow Farm,https://www.nancarrowfarm.co.uk/weddings/,A farm and barn wedding venue near Truro.,assets/img/locations/venues/nancarrow-farm.webp,https://www.nancarrowfarm.co.uk/wp-content/uploads/2024/02/Alice-Adam-Full-Res-288-copy-e1710260516459.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
truro,Truro,1,3,Scorrier House,https://www.scorrierhouse.co.uk/weddings/wedding-overview/,A country-house venue between Truro and Redruth.,assets/img/locations/venues/scorrier-house.webp,https://www.scorrierhouse.co.uk/wp-content/uploads/2023/03/8T2A3413_websize-2.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
newquay,Newquay,1,1,The Headland Hotel,https://www.headlandhotel.co.uk/events/weddings/,A landmark Newquay hotel overlooking Fistral Beach.,assets/img/locations/venues/the-headland-hotel.webp,https://www.headlandhotel.co.uk/media/qoelpm3g/calm-sunset-vibes-exterior-8.jpg?quality=70,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
newquay,Newquay,1,2,Lusty Glaze,https://www.lustyglaze.co.uk/weddings/,A beach wedding venue in Newquay.,assets/img/locations/venues/lusty-glaze.webp,https://www.lustyglaze.co.uk/wp-content/uploads/2024/04/sj_wedding_lustyglaze_web_col_109-portrait.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
newquay,Newquay,1,3,Nancarrow Farm,https://www.nancarrowfarm.co.uk/weddings/,A countryside wedding venue within reach of Newquay and Truro.,assets/img/locations/venues/nancarrow-farm.webp,https://www.nancarrowfarm.co.uk/wp-content/uploads/2024/02/Alice-Adam-Full-Res-288-copy-e1710260516459.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
falmouth,Falmouth,1,1,The Greenbank Hotel,https://greenbank-hotel.co.uk/weddings/,A waterfront hotel venue overlooking Falmouth harbour.,assets/img/locations/venues/the-greenbank-hotel.webp,https://greenbank-hotel.co.uk/content/uploads/2011/02/The-Greenbank-Hotel-Falmouth-Jobs-6-1024x731.png,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
falmouth,Falmouth,1,2,St Michaels Resort,https://stmichaelsresort.com/celebrations/weddings,A beachside Falmouth resort venue.,assets/img/locations/venues/falmouth-st-michaels-resort.webp,https://stmichaelsresort.com/uploads/PageSection/20230629143635.jpeg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
falmouth,Falmouth,1,3,Pendennis Castle,http://www.pendenniscastle.co.uk/weddings.html,A historic coastal venue on the Falmouth headland.,assets/img/locations/venues/falmouth-pendennis-castle.webp,not found,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
st-ives,St Ives,1,1,Harbour Hotel St Ives,https://www.harbourhotels.co.uk/our-hotels/cornwall/harbour-hotel-st-ives,"A local venue option for weddings, parties and private events in St Ives: Harbour Hotel St Ives.",assets/img/locations/venues/harbour-hotel-st-ives.webp,https://www.telegraph.co.uk/content/dam/Travel/hotels/2025/january/harbour-hotel-st-ives-cornwall-2-p-thumbnail.jpg,"CSV candidate. Check venue suitability, availability and image rights before setting publish=1."
st-ives,St Ives,1,2,Treganna Castle,https://tregenna-castle.co.uk/weddings/,"An unbeatable location overlooking St Ives Bay, 72-acres of grounds to celebrate in, and an experienced team to make it all happen.",assets/img/locations/venues/treganna-castle.webp,https://hotelcms-production.imgix.net/tregenna-castle.co.uk/wp-content/uploads/2021/05/HAY-488.jpg?auto=format%2Ccompress&ch=DPR%2CWidth&crop=faces%2Cedges&fit=crop&h=580&ixjsv=2.2.4&strip=all&w=610,"CSV candidate. Check venue suitability, availability and image rights before setting publish=1."
st-ives,St Ives,1,3,St Ives Chappel,https://www.stiveschapelweddings.com/,,assets/img/locations/venues/st-ives-chappel.webp,"https://static.wixstatic.com/media/59c0f2_0f22ea9db3aa494bbaf5557f2abd127f~mv2.jpg/v1/fill/w_1252,h_800,fp_0.50_0.50,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/59c0f2_0f22ea9db3aa494bbaf5557f2abd127f~mv2.jpg","Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
penzance,Penzance,1,1,Trereife House,https://trereife.co.uk/marquee-weddings-cornwall/,A historic country-house venue close to Penzance.,assets/img/locations/venues/trereife-house.webp,https://trereife.co.uk/wp-content/uploads/2019/12/weddings_in_cornwall_EmmaJames247.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
penzance,Penzance,1,2,Tremenheere Sculpture Gardens,https://www.tremenheere.co.uk/wedding-venue-cornwall/,A garden venue between Penzance and Marazion.,assets/img/locations/venues/penzance-tremenheere-sculpture-gardens.webp,https://www.tremenheere.co.uk/wp-content/uploads/2024/12/Outdoor-Wedding-Venue-in-Cornwall-e1733746993396.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
penzance,Penzance,1,3,The Cornish Place,https://www.thecornishplace.com/weddings,"A coastal venue overlooking St Michael's Mount, close to Penzance.",assets/img/locations/venues/penzance-the-cornish-place.webp,https://images.squarespace-cdn.com/content/v1/62e8db8873fd090247f1fcbf/1712761196201-5WZ0W9UZB08IQCTECZ4T/245D7E1A-2547-49C4-9AF5-ACBEC248DDDB.jpg?format=500w,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
st-austell,St Austell,1,1,Eden Project,https://www.edenproject.com/venue-hire/a-unique-wedding-venue-in-cornwall,A distinctive venue near St Austell with iconic biome backdrops.,assets/img/locations/venues/st-austell-eden-project.webp,https://www.edenproject.com/sites/default/files/styles/12_11_media_medium/public/2021-06/wedding-couple-biomes.png?h=2697d7fc&itok=NvQ21CFW,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
st-austell,St Austell,1,2,Knightor Winery,https://www.knightor.com/weddings.html,A vineyard wedding venue near St Austell.,assets/img/locations/venues/st-austell-knightor-winery.webp,https://www.knightor.com/uploads/4/7/7/8/47780703/15-11-23-knightor-winery-photoshoot-katiegoffphotography-137-1_orig.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
st-austell,St Austell,1,3,Carlyon Bay Hotel,https://www.carlyonbay.com/weddings/,A coastal hotel venue close to St Austell.,assets/img/locations/venues/carlyon-bay-hotel.webp,https://carlyonbay.com/sites/default/files/2024-03/an217.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
bodmin,Bodmin,1,1,Boconnoc,https://boconnoc.com/weddings-cornwall/,A private estate venue between Bodmin and Liskeard.,assets/img/locations/venues/boconnoc.webp,https://boconnoc.com/wp-content/uploads/2023/07/Boconnoc-14-59-35-1L1A3458-DT.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
bodmin,Bodmin,1,2,Trevenna,https://www.trevenna.co.uk/weddings/,A countryside barn venue on Bodmin Moor.,assets/img/locations/venues/trevenna.webp,http://www.trevenna.co.uk/cdn/shop/files/1ArbourLawnLauraBuffery_fb43e13d-847b-4167-9c6a-fd1e421cfa92.jpg?v=1737107355,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
bodmin,Bodmin,1,3,Lanhydrock Hotel,https://www.lanhydrockhotel.com/weddings/,A Bodmin-area hotel venue with countryside surroundings.,assets/img/locations/venues/lanhydrock-hotel.webp,https://www.lanhydrockhotel.com/wp-content/uploads/2025/03/wedding-buggy.webp,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
bodmin,Bodmin,1,4,Boconnion,https://www.boconnion.co.uk/,,assets/img/locations/venues/boconnionl.webp,https://images.squarespace-cdn.com/content/v1/5f9aaeea97a14a30bbdc4b4b/1761733242242-MJAXR7W0P4PV67Q69NNS/AE-%25252BWedding-1840%25252B%252525282%25252529.jpg?format=750w,
camborne,Camborne,1,1,Roswarne House,https://www.roswarne.co.uk/weddings,A Camborne historic house venue from the homepage list.,assets/img/locations/venues/roswarne-house.webp,"https://static.wixstatic.com/media/3d3f9f_a20f9a164e5148e6bad4dae3e2c8fdbf~mv2.jpg/v1/fill/w_500,h_500,al_c/3d3f9f_a20f9a164e5148e6bad4dae3e2c8fdbf~mv2.jpg","Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
camborne,Camborne,1,2,Tyacks Hotel,https://tyackshotel.co.uk/weddings2,A coastal resort venue near Camborne and Portreath.,assets/img/locations/venues/camborne-tyacks-hotel.webp,,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
camborne,Camborne,1,3,Stennack Farm,https://www.stennackfarm.com/,A larger coastal venue within reach of Camborne.,assets/img/locations/venues/stennack-farm.webp,https://www.stennackfarm.com/wp-content/uploads/2024/03/Tim-Rachel-feature-scaled.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
redruth,Redruth,1,1,Scorrier House,https://www.scorrierhouse.co.uk/weddings/,A country-house venue close to Redruth.,assets/img/locations/venues/scorrier-house.webp,https://www.scorrierhouse.co.uk/wp-content/uploads/2017/05/engineroom-credit.png,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
redruth,Redruth,1,2,Roswarne House,https://www.roswarne.co.uk/weddings,A nearby Camborne venue from the homepage list.,assets/img/locations/venues/roswarne-house.webp,"https://static.wixstatic.com/media/3d3f9f_a20f9a164e5148e6bad4dae3e2c8fdbf~mv2.jpg/v1/fill/w_500,h_500,al_c/3d3f9f_a20f9a164e5148e6bad4dae3e2c8fdbf~mv2.jpg","Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
redruth,Redruth,1,3,The Barn at Pengelly,https://www.pengellyweddings.com/,A barn venue within reach of Redruth and Truro.,assets/img/locations/venues/redruth-the-barn-at-pengelly.webp,https://cdn.sanity.io/images/v6mmjf9i/production/d9a6f6038c3d41b72e7019eb360611db83ecc7e8-1600x1065.jpg?auto=format&fit=max&w=640,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
launceston,Launceston,1,1,Launcells Barton,https://www.launcellsbarton.co.uk/weddings/,A North Cornwall barn venue within reach of Launceston.,assets/img/locations/venues/launcells-barton.webp,not found,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
launceston,Launceston,1,2,Trevenna,https://www.trevenna.co.uk/weddings/,A Bodmin Moor barn venue accessible from Launceston.,assets/img/locations/venues/trevenna.webp,http://www.trevenna.co.uk/cdn/shop/files/1ArbourLawnLauraBuffery_fb43e13d-847b-4167-9c6a-fd1e421cfa92.jpg?v=1737107355,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
